crop,soil_type,Seedling Stage,Moisture,Temperature,Humidity,Rainfall,Result
Wheat,Black Soil,Germination,1,25,80,0,1
Wheat,Black Soil,Germination,2,26,77,2.68,1
Wheat,Black Soil,Germination,3,27,74,7.07,1
Wheat,Black Soil,Germination,4,28,71,55.41,1
Wheat,Black Soil,Germination,5,29,68,103.26,1
Wheat,Black Soil,Germination,6,30,65,209.41,1
Wheat,Black Soil,Germination,7,31,62,239.07,1
Wheat,Black Soil,Germination,8,32,59,189.81,1
Wheat,Black Soil,Germination,9,33,56,139.27,1
Wheat,Black Soil,Germination,10,34,53,80.54,1
Wheat,Black Soil,Germination,11,35,50,22.39,1
Wheat,Black Soil,Germination,12,36,47,2.93,1
Wheat,Black Soil,Germination,13,37,44,1.66,1
Wheat,Black Soil,Germination,14,38,41,1.22,1
Wheat,Black Soil,Germination,15,39,38,13.25,1
Wheat,Black Soil,Germination,16,40,35,44.69,1
Wheat,Black Soil,Germination,17,41,32,92.88,1
Wheat,Black Soil,Germination,18,42,29,194.58,1
Wheat,Black Soil,Germination,19,43,26,246.64,1
Wheat,Black Soil,Germination,20,44,23,182.55,1
Wheat,Black Soil,Germination,21,45,20,121.47,1
Wheat,Black Soil,Germination,22,46,17,69.04,1
Wheat,Black Soil,Germination,23,25,80,0.7,1
Wheat,Black Soil,Germination,24,26,77.5,28.29,1
Wheat,Black Soil,Germination,25,27,75,0,1
Wheat,Black Soil,Germination,26,28,72.5,21.85,1
Wheat,Black Soil,Germination,27,29,70,25.2,1
Wheat,Black Soil,Germination,28,30,67.5,48.36,1
Wheat,Black Soil,Germination,29,31,65,86.47,1
Wheat,Black Soil,Germination,30,32,62.5,198.35,1
Wheat,Black Soil,Germination,31,33,60,251.22,2
Wheat,Black Soil,Germination,32,34,57.5,195.21,2
Wheat,Black Soil,Germination,33,35,55,113.07,2
Wheat,Black Soil,Germination,34,36,52.5,62.6,2
Wheat,Black Soil,Germination,35,37,50,24.75,2
Wheat,Black Soil,Germination,36,38,47.5,18.25,2
Wheat,Black Soil,Germination,37,39,45,0,2
Wheat,Black Soil,Germination,38,40,42.5,20.15,2
Wheat,Black Soil,Germination,39,41,40,25.14,2
Wheat,Black Soil,Germination,40,42,37.5,54.45,2
Wheat,Black Soil,Germination,41,43,35,107.57,0
