crop,soil_type,Seedling Stage,Moisture (min. % of moisture in soil for healthy growth of crops,Temperature,Humidity,Rainfall in mm (based on humidity and temperature,Result (will rain or not within 2 hrs)
Ginger,red,fruit/bulb formation,43.19,27.43,84.77,11.26,Yes
peas,alluvial,maturation,24.91,34.92,78.7,2.94,Yes
cabbage,sandy,flowering,37.23,26.65,63.56,3.62,Yes
kiwi,sandy,fruit/bulb formation,43.99,15.5,62.54,3.02,Yes
cabbage,clay,harvest,28.02,24.15,82.64,6.0,Yes
cabbage,alluvial,germination,33.5,33.23,68.37,1.19,No
potato,sandy,harvest,21.77,17.64,85.55,11.01,Yes
peas,loam,germination,28.77,20.27,76.57,1.7,No
sweet potato,sandy,harvest,25.01,16.92,72.03,2.31,Yes
Turmeric,chalky,germination,29.46,17.51,52.33,0.86,No
Large Cardamom,alluvial,harvest,30.52,22.01,87.03,14.58,Yes
cabbage,sandy,germination,28.23,15.75,58.81,1.14,No
sweet potato,red,germination,28.48,31.86,62.83,2.03,Yes
tomato,sandy,maturation,20.85,15.5,89.18,6.2,Yes
potato,sandy,harvest,22.61,19.63,87.84,13.55,Yes
Turmeric,chalky,flowering,43.38,34.73,66.24,1.5,No
peas,red,maturation,21.11,23.03,47.5,1.11,No
Maize (corn),red,flowering,36.59,27.39,55.43,1.07,No
beans,sandy,harvest,14.77,32.86,84.0,3.72,Yes
Turmeric,black,maturation,28.5,15.34,84.74,4.01,Yes
kiwi,sandy,maturation,29.12,33.91,42.48,2.71,Yes
Ginger,chalky,harvest,25.34,31.42,60.82,3.55,Yes
tomato,black,flowering,41.98,27.7,42.11,2.01,Yes
mustard,black,flowering,38.45,22.15,89.23,19.49,Yes
soyabeans,loam,flowering,44.09,18.38,59.21,3.5,Yes
soyabeans,red,maturation,32.11,34.78,43.55,0.35,No
orange,sandy,flowering,42.63,27.92,60.69,4.55,Yes
beans,red,harvest,18.19,22.78,55.52,0.23,No
Ginger,black,maturation,34.55,24.34,87.72,8.89,Yes
mustard,clay,flowering,35.59,18.11,45.51,0.34,No
radish,loam,germination,31.62,17.31,82.08,1.45,No
Maize (corn),alluvial,maturation,31.65,16.29,44.06,1.75,No
mustard,red,maturation,22.53,16.38,88.67,19.04,Yes
bananas,chalky,maturation,35.75,30.67,84.32,0.77,No
Turmeric,sandy,fruit/bulb formation,42.94,27.56,49.17,4.09,Yes
bananas,red,germination,27.55,20.35,82.16,10.36,Yes
kiwi,red,flowering,47.47,29.03,53.47,2.52,Yes
radish,red,fruit/bulb formation,38.25,26.31,42.3,0.62,No
peas,clay,flowering,39.68,16.35,71.12,1.97,No
Paddy (rice),red,harvest,33.51,34.71,42.06,0.42,No
beans,red,maturation,27.6,18.52,71.68,2.34,Yes
tomato,black,fruit/bulb formation,47.61,26.89,74.21,13.69,Yes
Ginger,clay,germination,27.89,16.54,66.22,2.46,Yes
cabbage,loam,maturation,25.32,33.64,61.89,3.13,Yes
radish,alluvial,germination,27.12,19.23,60.94,3.98,Yes
tomato,red,fruit/bulb formation,38.19,32.47,88.72,4.75,Yes
peas,loam,harvest,16.84,33.71,45.67,2.4,Yes
soyabeans,sandy,fruit/bulb formation,43.92,16.63,60.62,3.66,Yes
radish,clay,harvest,20.73,34.15,69.22,4.2,Yes
radish,loam,germination,28.05,20.73,77.28,1.3,No
Large Cardamom,red,flowering,38.61,29.74,53.48,4.3,Yes
radish,chalky,fruit/bulb formation,41.17,16.85,69.72,2.38,Yes
Large Cardamom,red,maturation,34.92,27.19,60.59,3.3,Yes
papaya,loam,fruit/bulb formation,51.1,26.42,40.7,4.19,Yes
mustard,loam,fruit/bulb formation,50.47,33.2,40.63,0.83,No
tomato,sandy,flowering,48.94,21.02,69.35,0.46,No
Ginger,chalky,harvest,21.55,18.89,55.94,3.14,Yes
papaya,black,flowering,49.2,26.02,40.18,4.88,Yes
Paddy (rice),black,fruit/bulb formation,53.32,28.75,59.52,2.98,Yes
potato,black,maturation,25.3,20.78,40.53,0.89,No
Large Cardamom,loam,germination,29.97,27.27,66.63,2.63,Yes
soyabeans,chalky,germination,27.51,21.65,52.88,3.41,Yes
papaya,black,harvest,26.1,17.83,54.9,2.18,Yes
Maize (corn),red,germination,29.72,22.91,82.4,8.08,Yes
soyabeans,black,germination,31.04,20.14,75.19,19.03,Yes
beans,red,flowering,39.19,27.76,84.97,14.14,Yes
mustard,alluvial,germination,31.34,25.2,48.54,1.42,No
Maize (corn),alluvial,fruit/bulb formation,51.12,15.56,41.23,0.31,No
peas,clay,fruit/bulb formation,49.18,27.37,54.31,2.45,Yes
